"SITIO","PRODUCTO","LINK","VARIACIONES","FECHA"
"Tierragro","Agility Gold Gatos Adultos","https://www.tierragro.com/collections/nutricion-gatos/products/agility-gold-gatos-italcol-nutricion-mascotas-y-animales?_pos=1&_fid=aa6007268&_ss=c","[{""id"":""var0"",""variation"":""1.5 kg"",""price"":42200,""availability"":""si""},{""id"":""var1"",""variation"":""3 kg"",""price"":80400,""availability"":""si""},{""id"":""var2"",""variation"":""7 kg"",""price"":178300,""availability"":""si""}]","2026-03-17 01:05:18"
"Tierragro","Mirringo Adulto","https://www.tierragro.com/collections/nutricion-gatos/products/mirringo-adulto-nutricion-mascotas-y-animales?_pos=2&_fid=aa6007268&_ss=c","[{""id"":""var0"",""variation"":""500 gr"",""price"":5300,""availability"":""si""},{""id"":""var1"",""variation"":""1 kg"",""price"":10300,""availability"":""si""},{""id"":""var2"",""variation"":""8 kg"",""price"":77900,""availability"":""si""}]","2026-03-17 01:05:18"
"Tierragro","Comida para gato Equilibrio Adulto","https://www.tierragro.com/collections/nutricion-gatos/products/equilibrio-gato-adulto-total-max-nutricion-mascotas-y-animales-1?_pos=3&_fid=aa6007268&_ss=c","[{""id"":""var0"",""variation"":""8.2 kg"",""price"":324700,""availability"":""si""},{""id"":""var1"",""variation"":""1.5 kg"",""price"":80900,""availability"":""si""},{""id"":""var2"",""variation"":""500 gr"",""price"":30000,""availability"":""si""}]","2026-03-17 01:05:18"
"Tierragro","Cat Chow Vida Sana","https://www.tierragro.com/collections/nutricion-gatos/products/cat-chow-vida-sana-purina-nutricion-mascotas-y-animales-1?_pos=4&_fid=aa6007268&_ss=c","[{""id"":""var0"",""variation"":""450 gr"",""price"":14700,""availability"":""si""},{""id"":""var1"",""variation"":""1.3 kg"",""price"":38500,""availability"":""si""},{""id"":""var2"",""variation"":""3 kg"",""price"":81500,""availability"":""si""}]","2026-03-17 01:05:18"
"Tierragro","Taste Of The Wild Rocky Mountain Gato 14 Lb","https://www.tierragro.com/collections/nutricion-gatos/products/tow-rocky-mountain-gato-taste-of-the-wild-nutricion-mascotas-y-animales?_pos=5&_fid=aa6007268&_ss=c","[{""id"":""var0"",""variation"":""Taste Of The Wild Rocky Mountain Gato 14 Lb"",""price"":257600,""availability"":""si""}]","2026-03-17 01:05:18"
"Tierragro","Diamond Indoor Cat Control Bola de Pelo x 6 Lb Pollo y Arroz","https://www.tierragro.com/collections/nutricion-gatos/products/diamond-inidoor-cat-control-b-pelo-jarapets-nutricion-mascotas-y-animales?_pos=6&_fid=aa6007268&_ss=c","[{""id"":""var0"",""variation"":""Diamond Indoor Cat Control Bola de Pelo x 6 Lb Pollo y Arroz"",""price"":96900,""availability"":""si""}]","2026-03-17 01:05:19"
"Tierragro","Agility Gold Gatitos","https://www.tierragro.com/collections/nutricion-gatos/products/agility-gold-gatitos-x-3-kgs-italcol-nutricion-mascotas-y-animales?_pos=7&_fid=aa6007268&_ss=c","[{""id"":""var0"",""variation"":""1.5 kg"",""price"":46700,""availability"":""si""},{""id"":""var1"",""variation"":""3 kg"",""price"":88400,""availability"":""si""}]","2026-03-17 01:05:19"
"Tierragro","Comida par gato Max Professional Line Adulto Pollo y Arroz 3Kg","https://www.tierragro.com/collections/nutricion-gatos/products/max-cat-buffet-rs-3kl-total-max-nutricion-mascotas-y-animales?_pos=8&_fid=aa6007268&_ss=c","[{""id"":""var0"",""variation"":""Comida par gato Max Professional Line Adulto Pollo y Arroz 3Kg"",""price"":72200,""availability"":""si""}]","2026-03-17 01:05:19"
"Tierragro","Nutra Nuggets Gato Para Mantenimiento x 3 Kg","https://www.tierragro.com/collections/nutricion-gatos/products/nutra-nuggets-mantenimiento-2870-nutra-nuggets-nutricion-mascotas-y-animales?_pos=9&_fid=aa6007268&_ss=c","[{""id"":""var0"",""variation"":""Nutra Nuggets Gato Para Mantenimiento x 3 Kg"",""price"":63630,""availability"":""si""}]","2026-03-17 01:05:19"
"Tierragro","Taste Of The Wild Rocky Mountain Gato x 5 Lb","https://www.tierragro.com/collections/nutricion-gatos/products/tow-rocky-mountain-gato-1252-taste-of-the-wild-nutricion-mascotas-y-animales?_pos=10&_fid=aa6007268&_ss=c","[{""id"":""var0"",""variation"":""Taste Of The Wild Rocky Mountain Gato x 5 Lb"",""price"":100000,""availability"":""si""}]","2026-03-17 01:05:19"
